step,track,model,dataset,Memory in Mb,Time in s,using_fallback,Accuracy,MicroF1,MacroF1,error
10608.0,Multiclass classification,CapyMoa Leveraging Bagging,Keystroke,0.006289482116699219,6.3611270000000015,True,0.0,0.0,0.0,
11016.0,Multiclass classification,CapyMoa Leveraging Bagging,Keystroke,0.006366729736328125,6.842957000000002,True,0.0,0.0,0.0,
11424.0,Multiclass classification,CapyMoa Leveraging Bagging,Keystroke,0.006443977355957031,7.338858000000002,True,0.0,0.0,0.0,
11832.0,Multiclass classification,CapyMoa Leveraging Bagging,Keystroke,0.0065212249755859375,7.847934000000002,True,0.0,0.0,0.0,
12240.0,Multiclass classification,CapyMoa Leveraging Bagging,Keystroke,0.006598472595214844,8.369589000000001,True,0.0,0.0,0.0,
12648.0,Multiclass classification,CapyMoa Leveraging Bagging,Keystroke,0.00667572021484375,8.902777,True,0.0,0.0,0.0,
13056.0,Multiclass classification,CapyMoa Leveraging Bagging,Keystroke,0.006752967834472656,9.446844,True,0.0,0.0,0.0,
13464.0,Multiclass classification,CapyMoa Leveraging Bagging,Keystroke,0.0068302154541015625,10.001305,True,0.0,0.0,0.0,
13872.0,Multiclass classification,CapyMoa Leveraging Bagging,Keystroke,0.006907463073730469,10.566496,True,0.0,0.0,0.0,
14280.0,Multiclass classification,CapyMoa Leveraging Bagging,Keystroke,0.006984710693359375,11.142681000000001,True,0.0,0.0,0.0,
14688.0,Multiclass classification,CapyMoa Leveraging Bagging,Keystroke,0.007061958312988281,11.729826000000001,True,0.0,0.0,0.0,
15096.0,Multiclass classification,CapyMoa Leveraging Bagging,Keystroke,0.0071392059326171875,12.327906,True,0.0,0.0,0.0,
15504.0,Multiclass classification,CapyMoa Leveraging Bagging,Keystroke,0.007216453552246094,12.936969000000001,True,0.0,0.0,0.0,
15912.0,Multiclass classification,CapyMoa Leveraging Bagging,Keystroke,0.007293701171875,13.557102,True,0.0,0.0,0.0,
16320.0,Multiclass classification,CapyMoa Leveraging Bagging,Keystroke,0.007370948791503906,14.188226,True,0.0,0.0,0.0,
16728.0,Multiclass classification,CapyMoa Leveraging Bagging,Keystroke,0.0074481964111328125,14.830856,True,0.0,0.0,0.0,
17136.0,Multiclass classification,CapyMoa Leveraging Bagging,Keystroke,0.008570671081542969,15.484843000000001,True,0.0,0.0,0.0,
17544.0,Multiclass classification,CapyMoa Leveraging Bagging,Keystroke,0.008647918701171875,16.150186,True,0.0,0.0,0.0,
17952.0,Multiclass classification,CapyMoa Leveraging Bagging,Keystroke,0.008725166320800781,16.826767,True,0.0,0.0,0.0,
18360.0,Multiclass classification,CapyMoa Leveraging Bagging,Keystroke,0.008802413940429688,17.514557,True,0.0,0.0,0.0,
18768.0,Multiclass classification,CapyMoa Leveraging Bagging,Keystroke,0.008879661560058594,18.213603,True,0.0,0.0,0.0,
19176.0,Multiclass classification,CapyMoa Leveraging Bagging,Keystroke,0.0089569091796875,18.924004,True,0.0,0.0,0.0,
19584.0,Multiclass classification,CapyMoa Leveraging Bagging,Keystroke,0.009034156799316406,19.645869,True,0.0,0.0,0.0,
19992.0,Multiclass classification,CapyMoa Leveraging Bagging,Keystroke,0.009111404418945312,20.379172,True,0.0,0.0,0.0,
20400.0,Multiclass classification,CapyMoa Leveraging Bagging,Keystroke,0.009188652038574219,21.123856,True,0.0,0.0,0.0,
,Multiclass classification,CapyMoa Adaptive Random Forest,ImageSegments,,,,,,,could not convert string to float: 'f'
,Multiclass classification,CapyMoa Adaptive Random Forest,Insects,,,,,,,HTTP Error 404: Not Found
,Multiclass classification,CapyMoa Adaptive Random Forest,Keystroke,,,,,,,could not convert string to float: 's'
,Multiclass classification,CapyMoa Naive Bayes,ImageSegments,,,,,,,could not convert string to float: 'f'
,Multiclass classification,CapyMoa Naive Bayes,Insects,,,,,,,HTTP Error 404: Not Found
,Multiclass classification,CapyMoa Naive Bayes,Keystroke,,,,,,,could not convert string to float: 's'
