step,track,model,dataset,Memory in Mb,Time in s,using_fallback,Accuracy,F1
95150,Binary classification,CapyMoa Hoeffding Tree,SMTP,0.02205944061279297,130.11746999999997,False,0.0,0.0
95156,Binary classification,CapyMoa Hoeffding Tree,SMTP,0.02205944061279297,134.95545299999998,False,0.0,0.0
106,Binary classification,CapyMoa Hoeffding Adaptive Tree,Bananas,0.01809978485107422,0.018068,False,0.0,0.0
212,Binary classification,CapyMoa Hoeffding Adaptive Tree,Bananas,0.01809978485107422,0.04875,False,0.0,0.0
318,Binary classification,CapyMoa Hoeffding Adaptive Tree,Bananas,0.01809978485107422,0.092242,False,0.0,0.0
424,Binary classification,CapyMoa Hoeffding Adaptive Tree,Bananas,0.01809978485107422,0.148018,False,0.0,0.0
530,Binary classification,CapyMoa Hoeffding Adaptive Tree,Bananas,0.01809978485107422,0.215136,False,0.0,0.0
636,Binary classification,CapyMoa Hoeffding Adaptive Tree,Bananas,0.01809978485107422,0.293967,False,0.0,0.0
742,Binary classification,CapyMoa Hoeffding Adaptive Tree,Bananas,0.01809978485107422,0.38485199999999997,False,0.0,0.0
848,Binary classification,CapyMoa Hoeffding Adaptive Tree,Bananas,0.01809978485107422,0.487716,False,0.0,0.0
954,Binary classification,CapyMoa Hoeffding Adaptive Tree,Bananas,0.01809978485107422,0.601747,False,0.0,0.0
1060,Binary classification,CapyMoa Hoeffding Adaptive Tree,Bananas,0.01809978485107422,0.725533,False,0.0,0.0
1166,Binary classification,CapyMoa Hoeffding Adaptive Tree,Bananas,0.01809978485107422,0.859027,False,0.0,0.0
1272,Binary classification,CapyMoa Hoeffding Adaptive Tree,Bananas,0.01809978485107422,1.002141,False,0.0,0.0
1378,Binary classification,CapyMoa Hoeffding Adaptive Tree,Bananas,0.01809978485107422,1.154893,False,0.0,0.0
1484,Binary classification,CapyMoa Hoeffding Adaptive Tree,Bananas,0.01809978485107422,1.317194,False,0.0,0.0
1590,Binary classification,CapyMoa Hoeffding Adaptive Tree,Bananas,0.01809978485107422,1.489239,False,0.0,0.0
1696,Binary classification,CapyMoa Hoeffding Adaptive Tree,Bananas,0.01809978485107422,1.671631,False,0.0,0.0
1802,Binary classification,CapyMoa Hoeffding Adaptive Tree,Bananas,0.01809978485107422,1.8638080000000001,False,0.0,0.0
1908,Binary classification,CapyMoa Hoeffding Adaptive Tree,Bananas,0.01809978485107422,2.0658630000000002,False,0.0,0.0
2014,Binary classification,CapyMoa Hoeffding Adaptive Tree,Bananas,0.01809978485107422,2.277677,False,0.0,0.0
2120,Binary classification,CapyMoa Hoeffding Adaptive Tree,Bananas,0.01809978485107422,2.499082,False,0.0,0.0
2226,Binary classification,CapyMoa Hoeffding Adaptive Tree,Bananas,0.01809978485107422,2.730148,False,0.0,0.0
